id,rationales_1,rationales_2,rationales_3
30,1;0;0;0,1;0;0;1,1;0;0;1
32,0;0;0;0;0;0;0;0;0;0;1;1;0,0;0;0;0;0;0;0;0;0;0;1;1;0,0;0;0;0;0;0;0;0;0;0;1;0;0
47,1;0;0,1;0;0,1;0;0
48,0;1;0;0,0;1;0;0,1;1;0;0
51,0;0;0;0;1;1;0;0,0;0;0;0;1;1;0;0,0;0;0;0;1;1;0;0
72,1;0,1;0,1;0
76,1;0;1,1;0;1,1;0;1
91,0;0;0;0;0;1;1,0;0;0;0;0;1;1,0;0;0;0;0;1;1
98,1;0;1,1;0;1,1;0;1
99,1;0,1;0,1;0
101,1;0;1,1;0;1,1;0;1
102,0;1;1,0;0;1,0;0;1
107,0;1;0;0;0;0,0;0;0;1;0;0,0;0;1;1;1;0
120,1;0;0,1;0;1,1;0;0
121,1;0;0;0,1;0;0;0,1;0;0;0
138,0;1;0;1,0;1;0;1,0;1;0;1
140,1;0;0,1;0;0,1;0;0
165,1;0;0;0,1;0;0;0,1;0;0;0
171,1;0,1;0,1;0
198,1;1;1;1;1;0,1;0;0;0;1;0,1;0;0;0;0;0
203,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
208,1;0;0,1;0;0,1;0;0
209,0;1;0,0;1;0,0;1;0
212,1;0;1,1;0;1,1;0;1
216,1,1,1
222,0;1;0;0;0;0,0;1;0;0;0;0,0;1;0;0;0;0
226,1;0;0,1;0;0,1;0;0
228,1,1,1
230,0;0;0;0;0;1;1;1;0,0;0;0;0;0;1;1;1;0,0;0;0;0;0;1;1;1;0
232,1;1;1;1;0;0;0,0;1;0;0;0;0;0,0;1;1;1;0;0;0
247,0;1;0;0;1,0;1;0;0;1,0;1;0;0;1
248,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
253,1;0;1;0,1;0;0;0,1;0;0;0
256,1;0,1;0,1;0
257,1;0,1;0,1;0
258,0;1;1;0,0;0;1;0,0;0;1;0
273,0;1,0;1,0;1
278,1;0;0,1;0;0,1;0;0
284,0;0;1;1;1;1;0;0;0,0;0;0;1;0;0;0;0;0,0;0;1;1;0;0;0;0;0
285,1;0;0;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0;0;0
289,1;0;0,1;0;0,1;0;0
294,0;1;0;1,0;1;0;1,0;1;0;1
355,1;0;1;1;0,1;0;0;1;0,1;0;0;1;0
383,0;0;0;1;0;0;0,0;0;0;1;1;0;0,0;0;0;1;0;0;0
392,1;0;0,1;1;0,1;0;0
396,1;1;1;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0;0;0;1,0;0;1;0;0;0;0;0;0;0;0;0;0;0
403,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0
408,1;1;0;0;0,0;1;0;0;0,0;1;0;0;0
419,1;1;0;1,1;0;0;1,1;0;0;1
423,1;1;1;1;0;0;0;0;0;0;1,0;1;1;1;0;0;0;0;0;0;0,0;1;1;1;0;0;0;0;0;0;0
424,1;0;1;0,1;0;1;0,1;0;1;0
458,1;0;0,1;0;0,1;0;0
463,1;1;0;0;0;0;0;0;0;0,1;1;0;0;0;0;0;0;0;0,1;1;0;0;0;0;0;0;0;0
466,1;1;0,1;1;0,1;1;0
476,0;0;0;0;0;1;1,0;1;1;1;0;1;1,0;0;0;0;1;1;1
483,1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
501,1;1;0;0;0;0,1;1;0;0;1;0,1;1;0;0;0;0
503,1;1;0;1;0,0;1;0;1;0,0;0;1;1;0
507,0;1;0;0;0,0;1;0;0;0,0;1;1;1;0
