id,text,subtask_a,subtask_b,subtask_c
0,"Lule e eger e rrazikshme,ato frutat kan helm.",0,2,3
1,Kungull eshte,0,2,3
2,Kungull,0,2,3
3,Iriq Bio,0,2,3
4,Eshte kungull,0,2,3
5,Ed rama me mjekerr😉,0,2,3
6,kajota,0,2,3
7,PYETE SPIROPALIN se ajo e di,0,2,3
8,Patate,0,2,3
9,Dardhe Me Stil Iriqi😂😂,0,2,3
10,Kungull eshte,0,2,3
11,Dhe un kam ne shpi dhe e bej burek sepse eshte shume i mire per cdo loje semundje @joqalbanian,0,2,3
12,Patate kineze,0,2,3
13,eshte kungull,0,2,3
14,Quhet patate,0,2,3
15,Kungull,0,2,3
16,Kungull eshte,0,2,3
17,Patate arabe,0,2,3
18,patate e embek ka shije si kungulli i vogel,0,2,3
19,😘,0,2,3
20,Kungull,0,2,3
21,dardhë me gjëmba,0,2,3
22,Dardh po I ka vdek berberi,0,2,3
23,Dardh me mbiemer kivi😂😂😂,0,2,3
24,Patate,0,2,3
25,Patate me ferra asht se kam edhe un nshpi,0,2,3
26,Eshte patate e embel,0,2,3
27,Se nuk e di,0,2,3
28,Nuk asht frut ai,0,2,3
29,Kajota,0,2,3
30,Kungull o popull kungull,1,0,1
31,Patate e embel quhet,0,2,3
32,@taku_begaj  ca esht ky vlla 😅😅😅 mua m duket kungull grek 😅😅,1,0,1
33,Patate po e llojt qe rritet  si kivi ose kungulli varet neper mure osht shm e mir,0,2,3
34,Qershi,0,2,3
35,Kajota eshte perime ka formen e nje dardhe dhe esht si patate e embel,0,2,3
36,"Kungull spanjoll, gatuhet tave me patate ,,etj normal.",0,2,3
37,Dardha gjirokastrite,0,2,3
38,kungull me gjemba ndryshe quhen kajota,0,2,3
39,Kungull,0,2,3
40,Patate indiane👌,0,2,3
41,Kajot,0,2,3
42,Qershi,0,2,3
43,patate eshte,0,2,3
44,Ky. Fruti.  Eshte😎  kajota,0,2,3
45,Dardh e pa ruarr,0,2,3
46,🤣🤣🤣🤣🤣,0,2,3
47,Tope me lesh.,1,1,3
48,O raka esht avokado,1,0,1
49,Kungull,0,2,3
50,"kungull, shumë i shijshëm në gatim",0,2,3
51,Kjo quhet rilindje. Ose koqe rame me shkurt.,1,0,1
52,"Dardh gjirokastre,qe vetem ta shohesh e mos ta hash kurr",0,2,3
53,Esht patate vec se ka me shum vitamina dhe shije se patatet origjinale,0,2,3
54,per sa koh eshte rama ne pushtet keto cudira do ndodhin ... prite kur me dal ndonje domatme me baluke,0,2,3
55,Kungull,0,2,3
56,Patate🥔🥔🥔,0,2,3
57,Dardh e eger hahaah😂🤣😂,0,2,3
58,Patate eger mo vlla se kam mbjell te kopshti sa te dush😂😂,0,2,3
59,kungull,0,2,3
